job_number,prop_stories,occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,u_net_comp,u_net_inc,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,latitude,longitude,x_inactive,hny_id,reason,extra
520008802,,,,,,,,,,,,,,,,,,,,,,5070940065,,,,,,change BBL,
520008811,,,,,,,,,,,,,,,,,,,,,,5070940062,,,,,,change BBL,
520008820,,,,,,,,,,,,,,,,,,,,,,5070940066,,,,,,change BBL,
520008839,,,,,,,,,,,,,,,,,,,,,,5070940067,,,,,,change BBL,
520008848,,,,,,,,,,,,,,,,,,,,,,5070940061,,,,,,change BBL,
520008857,,,,,,,,,,,,,,,,,,,,,,5070940060,,,,,,change BBL,
520008866,,,,,,,,,,,,,,,,,,,,,,5070940059,,,,,,change BBL,
520008875,,,,,,,,,,,,,,,,,,,,,,5070940053,,,,,,change BBL,
520008884,,,,,,,,,,,,,,,,,,,,,,5070940052,,,,,,change BBL,
520008893,,,,,,,,,,,,,,,,,,,,,,5070940051,,,,,,change BBL,
520008900,,,,,,,,,,,,,,,,,,,,,,5070940054,,,,,,change BBL,
520008928,,,,,,,,,,,,,,,,,,,,,,5070940047,,,,,,change BBL,
520008937,,,,,,,,,,,,,,,,,,,,,,5070940058,,,,,,change BBL,
520008946,,,,,,,,,,,,,,,,,,,,,,5070940063,,,,,,change BBL,
520008955,,,,,,,,,,,,,,,,,,,,,,5070940032,,,,,,change BBL,
520008964,,,,,,,,,,,,,,,,,,,,,,5070940033,,,,,,change BBL,
520008973,,,,,,,,,,,,,,,,,,,,,,5070940040,,,,,,change BBL,
520008982,,,,,,,,,,,,,,,,,,,,,,5070940041,,,,,,change BBL,
520008991,,,,,,,,,,,,,,,,,,,,,,5070940043,,,,,,change BBL,
520009026,,,,,,,,,,,,,,,,,,,,,,5070940044,,,,,,change BBL,
520009035,,,,,,,,,,,,,,,,,,,,,,5070940045,,,,,,change BBL,
520009044,,,,,,,,,,,,,,,,,,,,,,5070940046,,,,,,change BBL,
520009053,,,,,,,,,,,,,,,,,,,,,,5070940056,,,,,,change BBL,
520009062,,,,,,,,,,,,,,,,,,,,,,5070940055,,,,,,change BBL,
520009071,,,,,,,,,,,,,,,,,,,,,,5070940050,,,,,,change BBL,
520009080,,,,,,,,,,,,,,,,,,,,,,5070940049,,,,,,change BBL,
520009099,,,,,,,,,,,,,,,,,,,,,,5070940048,,,,,,change BBL,
520009124,,,,,,,,,,,,,,,,,,,,,,5070940039,,,,,,change BBL,
520009179,,,,,,,,,,,,,,,,,,,,,,5070940038,,,,,,change BBL,
520009188,,,,,,,,,,,,,,,,,,,,,,5070940037,,,,,,change BBL,
520009197,,,,,,,,,,,,,,,,,,,,,,5070940036,,,,,,change BBL,
520009204,,,,,,,,,,,,,,,,,,,,,,5070940035,,,,,,change BBL,
520009213,,,,,,,,,,,,,,,,,,,,,,5070940034,,,,,,change BBL,
520043765,,,,,,,,,,,,,,,,,,,,,,5077930182,,,,,,change BBL,
520043774,,,,,,,,,,,,,,,,,,,,,,5077930181,,,,,,change BBL,
520044292,,,,,,,,,,,,,,,,,,,,,,5006180170,,,,,,change BBL,
520047244,,,,,,,,,,,,,,,,,,,,,,5001980045,,,,,,change BBL,
520047253,,,,,,,,,,,,,,,,,,,,,,5001980042,,,,,,change BBL,
520047262,,,,,,,,,,,,,,,,,,,,,,5001980079,,,,,,change BBL,
